Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DAVA,Endava plc,68.52,3765417246,n/a,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/dava
EXK,Endeavour Silver Corporation,3.57,562175425.6,n/a,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/exk
ENIA,Enel Americas S.A.,7.61,11608129335,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enia
ENIC,Enel Chile S.A.,3.61,4993825430,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enic
ENR,"Energizer Holdings, Inc.",47.18,3232654046,n/a,2015,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/enr
ENR^A,"Energizer Holdings, Inc.",97.82,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/enr^a
ET,Energy Transfer L.P.,5.35,14432783216,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/et
ETP^C,"Energy Transfer Operating, L.P.",19.52,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^c
ETP^D,"Energy Transfer Operating, L.P.",20.62,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^d
ETP^E,"Energy Transfer Operating, L.P.",21.61,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^e
EPAC,Enerpac Tool Group Corp.,20.85,1246834379,n/a,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/epac
ERF,Enerplus Corporation,2.25,500732100,n/a,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/erf
ENS,Enersys,81.02,3441517976,n/a,2004,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/ens
E,ENI S.p.A.,17.84,31612115779,n/a,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/e
ENLC,"EnLink Midstream, LLC",2.98,1459445470,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enlc
EBF,"Ennis, Inc.",16.75,437073260.5,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/ebf
ENVA,"Enova International, Inc.",20.86,743995158.9,n/a,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/enva
NPO,EnPro Industries,68.45,1405690227,n/a,n/a,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/npo
ETM,Entercom Communications Corp.,1.88,259448458.1,n/a,1999,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/etm
EAI,"Entergy Arkansas, LLC",26.03,0,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eai
ETR,Entergy Corporation,109.83,21991537891,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/etr
ELC,"Entergy Louisiana, Inc.",26.27,0,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elc
ELJ,"Entergy Louisiana, Inc.",25.59,0,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elj
ELU,"Entergy Louisiana, Inc.",25.35,0,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elu
EMP,"Entergy Mississippi, LLC",26.62,0,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/emp
ENJ,"Entergy New Orleans, LLC",25.5731,0,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/enj
ENO,"Entergy New Orleans, LLC",25.69,0,n/a,2016,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/eno
ETI^,Entergy Texas Inc,27.39,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eti^
EPD,Enterprise Products Partners L.P.,18.18,39684776198,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/epd
EVC,Entravision Communications Corporation,2.45,206255033.6,n/a,2000,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/evc
ENV,"Envestnet, Inc",77.73,4193517643,n/a,2010,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/env
NVST,Envista Holdings Corporation,29.52,4712617493,n/a,2019,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nvst
EVA,"Enviva Partners, LP",44.47,1768459302,n/a,2015,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/eva
ENZ,"Enzo Biochem, Inc.",2.02,96748001,n/a,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/enz
EOG,"EOG Resources, Inc.",41.91,24449390630,n/a,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/eog
EPAM,"EPAM Systems, Inc.",326.97,18306700115,n/a,2012,Technology,EDP Services,https://old.nasdaq.com/symbol/epam
EPR,EPR Properties,28.68,2139964796,n/a,1997,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/epr
EPR^C,EPR Properties,20,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/epr^c
EPR^E,EPR Properties,29.4,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/epr^e
EPR^G,EPR Properties,19.9676,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/epr^g
EQT,EQT Corporation,14.69,4048546769,n/a,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/eqt
EFX,"Equifax, Inc.",159.19,19364342006,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/efx
EQNR,Equinor ASA,14.68,47665399620,n/a,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/eqnr
EQH,"Equitable Holdings, Inc.",24.57,10925892735,n/a,2018,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/eqh
EQH^A,"Equitable Holdings, Inc.",26.665,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eqh^a
ETRN,Equitrans Midstream Corporation,6.98,3018640600,n/a,2018,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/etrn
EQC,Equity Commonwealth,26.97,3277516035,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqc
EQC^D,Equity Commonwealth,29.4589,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eqc^d
EQD.U,Equity Distribution Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/eqd.u
ELS,"Equity Lifestyle Properties, Inc.",62.44,11378110455,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/els
EQR,Equity Residential,59.59,22182571108,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqr
EQS,"Equus Total Return, Inc.",1.1,14869960.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eqs
ESGC,Eros STX Global Corporation,2.29,474071817.7,n/a,2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/esgc
ESE,ESCO Technologies Inc.,97.8,2546488429,n/a,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/ese
ESNT,Essent Group Ltd.,43.23,4860059432,n/a,2013,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esnt
