Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GOLD,Barrick Gold Corporation,25.79,45857865620.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gold
BHC,Bausch Health Companies Inc.,19.41,6893480949.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bhc
BAX,Baxter International Inc.,80.93,41340532950.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/bax
BTE,Baytex Energy Corp,0.41100000000000003,230653200.0,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/bte
BCE,"BCE, Inc.",43.14,39012698186.0,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/bce
BZH,"Beazer Homes USA, Inc.",13.8,428085701.4,,1994.0,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/bzh
BDX,"Becton, Dickinson and Company",243.16,70484436861.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/bdx
BDXB,"Becton, Dickinson and Company",53.7,0.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/bdxb
BDC,Belden Inc,34.14,1522984444.0,,,Basic Industries,Telecommunications Equipment,https://old.nasdaq.com/symbol/bdc
BRBR,"BellRing Brands, Inc.",20.04,790148582.9,,2019.0,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/brbr
BHE,"Benchmark Electronics, Inc.",23.52,857881063.2,,,Technology,Electrical Products,https://old.nasdaq.com/symbol/bhe
BHLB,"Berkshire Hills Bancorp, Inc.",15.65,787288900.0,,,Finance,Banks,https://old.nasdaq.com/symbol/bhlb
BERY,"Berry Global Group, Inc.",52.67,6984042000.0,,2012.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/bery
BBY,"Best Buy Co., Inc.",114.56,29651810302.0,,,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/bby
BEST,BEST Inc.,2.74,1055174000.0,,2017.0,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/best
BGSF,BG Staffing Inc,10.96,113074517.3,,,Technology,Professional Services,https://old.nasdaq.com/symbol/bgsf
BHP,BHP Group Limited,53.54,135000000000.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/bhp
BBL,BHP Group Plc,43.88,111000000000.0,,,Energy,Coal Mining,https://old.nasdaq.com/symbol/bbl
BIG,"Big Lots, Inc.",48.63,1909069807.0,,,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/big
BH,Biglari Holdings Inc.,94.83,294253696.8,,2018.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/bh
BILL,"Bill.com Holdings, Inc.",95.7,7767460642.0,,2019.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/bill
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,92.98,5549650491.0,,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bhvn
BIO,"Bio-Rad Laboratories, Inc.",585.45,17464268567.0,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/bio
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",39.92,5506680368.0,,2018.0,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/bj
BKH,Black Hills Corporation,63.63,3992572012.0,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/bkh
BKI,"Black Knight, Inc.",93.84,14735688350.0,,2017.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/bki
BSM,"Black Stone Minerals, L.P.",7.22,1492726979.0,,2015.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/bsm
BB,BlackBerry Limited,5.19,2888304333.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/bb
BLK,"BlackRock, Inc.",670.62,102000000000.0,,1999.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/blk
BE,Bloom Energy Corporation,17.1,2841992298.0,,2018.0,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/be
APRN,"Blue Apron Holdings, Inc.",5.55,98156223.3,,2017.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/aprn
BXG,Bluegreen Vacations Corporation,6.0,434905758.0,,2017.0,Finance,Real Estate,https://old.nasdaq.com/symbol/bxg
